"","V1","trialid","ppid","block","maxyr","onsettime","dn","ttlc.failure","rt","disengage_trialtime","world_x_disengaged","world_z_disengaged","world_x_onset","world_z_onset","peak_swa","peak_sr","disengaged","early.disengagement","ttlc.takeover","X","steeringbias_disengaged","failure.point","remove"
"569",947,"19_4_13_5_D",19,4,13,5,"D",1.38,0.516667,5.516667,3.073773,44.17116,1.997426,40.17676,87.21,3.15,1,FALSE,0.863333,956,-8.49535312209909,"Bend entry",FALSE
"570",948,"19_4_13_5_N",19,4,13,5,"N",1.38,0.483333,5.483333,2.996587,43.71144,1.999759,39.97285,90,4.500001,1,FALSE,0.896667,957,-8.25886785433146,"Bend entry",FALSE
"571",949,"19_4_13_8_N",19,4,13,8,"N",1.3,0.5,8.5,17.94724,62.44871,14.79639,59.98002,90,3.239996,1,FALSE,0.8,958,-14.844628027244,"Bend apex",FALSE
"572",958,"19_4_6_1.5_D",19,4,6,1.5,"D",4.02,2.85,3.85,-0.0372725985944271,30.9115734100342,0.006688610650599,12.1353063583374,15.2099999785423,0.989999994635582,1,FALSE,1.17,967,-2.03002680868473,"Straight",FALSE
"573",959,"19_4_6_1.5_N",19,4,6,1.5,"N",4.02,2.91666666666667,3.91666666666667,-0.0385479182004929,31.4414901733398,0.00667757913470268,12.1322555541992,22.9499995708466,1.35000005364418,1,FALSE,1.10333333333333,968,-2.1339828416519,"Straight",FALSE
"574",960,"19_4_6_11_D",19,4,6,11,"D",2.57,0.699999999999999,11.7,23.9964122772217,87.6116027832031,20.2842636108398,83.4166793823242,33.0300012230873,1.35000139474869,1,FALSE,1.87,969,-11.7442932005031,"Bend exit",FALSE
"575",961,"19_4_6_11_N",19,4,6,11,"N",2.57,0.6833333333333,11.6833333333333,23.8991985321045,87.3293991088867,20.2754611968994,83.2336120605469,35.009999871254,1.17000102996826,1,FALSE,1.8866666666667,970,-11.6025429924003,"Bend exit",FALSE
"576",962,"19_4_6_5_D",19,4,6,5,"D",2,0.83333333333333,5.83333333333333,1.79977607727051,46.853328704834,0.96526175737381,40.2371444702149,45.8999991416931,2.2500005364418,1,FALSE,1.16666666666667,971,-4.85373337553787,"Bend entry",FALSE
"577",963,"19_4_6_5_N",19,4,6,5,"N",2,0.83333333333333,5.83333333333333,1.80919170379639,46.8735046386719,0.967204093933106,40.2612266540527,46.7999982833862,1.35000139474868,1,FALSE,1.16666666666667,972,-4.85267117315634,"Bend entry",FALSE
"578",964,"19_4_6_8_D",19,4,6,8,"D",1.9,0.616666666666671,8.61666666666667,9.3250093460083,67.7972717285156,7.25357007980347,63.3185386657715,42.9299998283386,1.70999944210053,1,FALSE,1.28333333333333,973,-8.80371695276436,"Bend apex",FALSE
"579",965,"19_4_6_8_N",19,4,6,8,"N",1.9,0.58333333333333,8.58333333333333,9.21768951416016,67.599494934082,7.2559928894043,63.3585433959961,52.6499980688095,2.2500005364418,1,FALSE,1.31666666666667,974,-8.76900804113794,"Bend apex",FALSE
"580",966,"2_1_13_1.5_D",2,1,13,1.5,"D",3.23,2.916667,3.916667,0.04880514,31.77501,0.00195667,12.44298,66.6,4.77,1,FALSE,0.313333,975,-4.46599502051198,"Straight",FALSE
"581",967,"2_1_13_1.5_N",2,1,13,1.5,"N",3.23,2.383333,3.383333,0.0388023,27.45248,0.002108115,12.38665,67.23,4.049999,1,FALSE,0.846667,976,-2.93298731519423,"Straight",FALSE
"582",968,"2_1_13_11_D",2,1,13,11,"D",1.63,0.616669999999999,11.61667,42.03293,67.30904,37.09498,67.33137,64.53,2.249998,1,FALSE,1.01333,977,-16.2344857960006,"Bend exit",FALSE
"583",969,"2_1_13_5_D",2,1,13,5,"D",1.38,0.566667,5.566667,3.178433,44.53235,1.998191,40.15327,90,7.199998,1,FALSE,0.813333,978,-8.65023524000285,"Bend entry",FALSE
"584",970,"2_1_13_5_N",2,1,13,5,"N",1.38,0.616667,5.616667,3.270424,44.86532,1.998909,40.09644,90,8.100003,1,FALSE,0.763333,979,-8.79879336384584,"Bend entry",FALSE
"585",971,"2_1_13_8_D",2,1,13,8,"D",1.3,0.633333,8.633333,18.78855,62.96433,14.7992,59.83921,90,6.749999,1,FALSE,0.666667,980,-15.0223049513212,"Bend apex",FALSE
"586",972,"2_1_13_8_N",2,1,13,8,"N",1.3,0.616667,8.616667,18.6826,62.94402,14.79721,59.90018,90,5.85,1,FALSE,0.683333,981,-15.0406771637851,"Bend apex",FALSE
"587",981,"2_1_6_1.5_D",2,1,6,1.5,"D",4.02,3.33333333333333,4.33333333333333,-0.0436848476529121,34.8490180969238,0.00749334553256631,12.2059965133667,32.2200009226799,2.2500005364418,1,FALSE,0.686666666666669,990,-2.8807645434211,"Straight",FALSE
"588",982,"2_1_6_1.5_N",2,1,6,1.5,"N",4.02,2.88333333333333,3.88333333333333,-0.0360016450285912,31.2560386657715,0.00735520711168647,12.1903657913208,44.1000008583069,2.70000010728836,1,FALSE,1.13666666666667,991,-2.09526379049041,"Straight",FALSE
"589",983,"2_1_6_11_D",2,1,6,11,"D",2.57,0.716666666666701,11.7166666666667,24.0869407653809,87.6517486572266,20.285285949707,83.3560562133789,29.5200008153915,1.88999980688095,1,FALSE,1.8533333333333,992,-11.7125342655677,"Bend exit",FALSE
"590",984,"2_1_6_11_N",2,1,6,11,"N",2.57,1.05,12.05,25.8337936401367,89.5723724365234,20.2760124206543,83.2702713012695,44.5500004291534,1.44000023603439,1,FALSE,1.52,993,-11.9521702319133,"Bend exit",FALSE
"591",985,"2_1_6_5_D",2,1,6,5,"D",2,0.61666666666667,5.61666666666667,1.59282839298248,45.2300796508789,0.968852162361145,40.3315544128418,48.2400012016296,2.70000010728837,1,FALSE,1.38333333333333,994,-4.44356779020223,"Bend entry",FALSE
"592",986,"2_1_6_5_N",2,1,6,5,"N",2,0.65,5.65,1.6243771314621,45.4252815246582,0.967319309711456,40.2652549743652,46.4399975538254,1.97999998927116,1,FALSE,1.35,995,-4.48506719090359,"Bend entry",FALSE
"593",987,"2_1_6_8_D",2,1,6,8,"D",1.9,0.550000000000001,8.55,9.09735488891602,67.3067626953125,7.25476980209351,63.3053703308105,74.9700003862381,4.85999912023546,1,FALSE,1.35,996,-8.68801844714218,"Bend apex",FALSE
"594",988,"2_1_6_8_N",2,1,6,8,"N",1.9,0.616666666666671,8.61666666666667,9.32034587860107,67.7307815551758,7.24948358535767,63.252628326416,47.8800004720688,2.88000047206879,1,FALSE,1.28333333333333,997,-8.7669804035205,"Bend apex",FALSE
"595",989,"2_2_13_1.5_D",2,2,13,1.5,"D",3.23,2.666667,3.666667,0.04564412,29.52792,0.00263613,12.19479,58.68,1.89,1,FALSE,0.563333,998,-3.61974625645743,"Straight",FALSE
"596",990,"2_2_13_1.5_N",2,2,13,1.5,"N",3.23,3.033333,4.033333,0.05213602,32.56238,0.002346212,12.29671,90,10.89,1,FALSE,0.196667,999,-4.78452896633447,"Straight",FALSE
"597",991,"2_2_13_11_N",2,2,13,11,"N",1.63,0.550000000000001,11.55,41.49565,67.37428,37.09322,67.39404,70.2,2.88,1,FALSE,1.08,1000,-16.2665990964657,"Bend exit",FALSE
"598",993,"2_2_13_5_N",2,2,13,5,"N",1.38,0.516667,5.516667,3.074603,44.14491,1.99815,40.15067,90,5.310001,1,FALSE,0.863333,1002,-8.47769587477064,"Bend entry",FALSE
"599",994,"2_2_13_8_D",2,2,13,8,"D",1.3,0.516667,8.516667,18.0529,62.39705,14.79882,59.84787,90,5.129998,1,FALSE,0.783333,1003,-14.7577303338373,"Bend apex",FALSE
"600",995,"2_2_13_8_N",2,2,13,8,"N",1.3,0.616667,8.616667,18.68556,62.75481,14.80061,59.71169,90,7.289997,1,FALSE,0.683333,1004,-14.8626458668721,"Bend apex",FALSE
