"","V1","trialid","ppid","block","maxyr","onsettime","dn","ttlc.failure","rt","disengage_trialtime","world_x_disengaged","world_z_disengaged","world_x_onset","world_z_onset","peak_swa","peak_sr","disengaged","early.disengagement","ttlc.takeover","X","steeringbias_disengaged","failure.point","remove"
"47",106,"10_1_6_8_D",10,1,6,8,"D",1.9,0.66666666666667,8.66666666666667,9.50296783447266,68.2834014892578,7.26253414154053,63.4412040710449,45.630002617836,1.25999987125396,1,FALSE,1.23333333333333,107,-8.95907079201363,"Bend apex",FALSE
"48",107,"10_1_6_8_N",10,1,6,8,"N",1.9,0.883333333333329,8.88333333333333,10.231258392334,69.8823013305664,7.26305866241455,63.4673805236816,68.5800021886826,1.62000060081483,1,FALSE,1.01666666666667,108,-9.3772447256061,"Bend apex",FALSE
"49",110,"10_2_13_11_D",10,2,13,11,"D",1.63,0.633330000000001,11.63333,42.16375,67.33972,37.09524,67.349,76.05,2.700003,1,FALSE,0.996669999999999,111,-16.2737559584541,"Bend exit",FALSE
"50",113,"10_2_13_8_D",10,2,13,8,"D",1.3,0.583333,8.583333,18.46553,62.61242,14.7999,59.72047,89.82,2.969999,1,FALSE,0.716667,114,-14.8081837506489,"Bend apex",FALSE
"51",114,"10_2_13_8_N",10,2,13,8,"N",1.3,0.633333,8.633333,18.79079,62.84549,14.80054,59.71985,90,3.059998,1,FALSE,0.666667,115,-14.9102919290178,"Bend apex",FALSE
"52",125,"10_2_6_11_D",10,2,6,11,"D",2.57,1.4,12.4,27.7118167877197,91.7919006347656,20.2871189117432,83.4030685424805,47.0700001716614,2.51999974250793,1,FALSE,1.17,126,-12.3382574546902,"Bend exit",FALSE
"53",126,"10_2_6_11_N",10,2,6,11,"N",2.57,1.35,12.35,27.4412536621094,91.4499206542969,20.2837390899658,83.3622817993164,33.9300003647804,1.97999998927116,1,FALSE,1.22,127,-12.2656130300555,"Bend exit",FALSE
"54",127,"10_2_6_5_D",10,2,6,5,"D",2,0.68333333333333,5.68333333333333,1.64342844486237,45.5211906433105,0.959445953369141,40.0919227600098,47.2499978542328,2.34000205993652,1,FALSE,1.31666666666667,128,-4.50233225995737,"Bend entry",FALSE
"55",128,"10_2_6_5_N",10,2,6,5,"N",2,0.7,5.7,1.66648185253143,45.6517562866211,0.959512948989868,40.0912094116211,46.0800021886826,1.88999980688095,1,FALSE,1.3,129,-4.52857053990766,"Bend entry",FALSE
"56",129,"10_2_6_8_D",10,2,6,8,"D",1.9,0.71666666666667,8.71666666666667,9.66505718231201,68.5800857543945,7.25722408294678,63.3748512268066,54.9000012874603,2.15999901294708,1,FALSE,1.18333333333333,130,-9.01305971317685,"Bend apex",FALSE
"57",130,"10_2_6_8_N",10,2,6,8,"N",1.9,0.633333333333329,8.63333333333333,9.36971378326416,67.7465133666992,7.2429141998291,63.1460418701172,49.679998755455,2.33999937772751,1,FALSE,1.26666666666667,131,-8.73732870417496,"Bend apex",FALSE
"58",133,"10_3_13_11_D",10,3,13,11,"D",1.63,0.58333,11.58333,41.78769,67.2011,37.09669,67.22243,64.44,2.52,1,FALSE,1.04667,134,-16.1111440391994,"Bend exit",FALSE
"59",148,"10_3_6_11_D",10,3,6,11,"D",2.57,0.65,11.65,23.7113075256348,87.1062088012695,20.2708110809326,83.2045059204102,35.639999806881,1.44000023603439,1,FALSE,1.92,149,-11.5658591766074,"Bend exit",FALSE
"60",149,"10_3_6_11_N",10,3,6,11,"N",2.57,2.1,13.1,31.4046936035156,95.7981643676758,20.2709693908691,83.2135848999023,44.370000064373,2.51999974250794,1,FALSE,0.47,150,-13.3352969536308,"Bend exit",FALSE
"61",150,"10_3_6_5_D",10,3,6,5,"D",2,0.75,5.75,1.7247565984726,46.2268180847168,0.966667056083679,40.2730712890625,41.6699999570847,1.62000060081482,1,FALSE,1.25,151,-4.68735087325182,"Bend entry",FALSE
"62",151,"10_3_6_5_N",10,3,6,5,"N",2,0.6,5.6,1.56553256511688,44.8568649291992,0.959475457668304,40.0900840759277,34.7400006651878,1.17000102996827,1,FALSE,1.4,152,-4.33486070207988,"Bend entry",FALSE
"63",152,"10_3_6_8_D",10,3,6,8,"D",1.9,0.983333333333331,8.98333333333333,10.5348978042603,70.312744140625,7.24350738525391,63.1611785888672,44.6399992704391,1.62000060081482,1,FALSE,0.916666666666669,153,-9.4115083163642,"Bend apex",FALSE
"64",153,"10_3_6_8_N",10,3,6,8,"N",1.9,0.66666666666667,8.66666666666667,9.48575592041016,68.0913848876953,7.24677848815918,63.2485885620117,48.0599981546402,1.53000175952911,1,FALSE,1.23333333333333,154,-8.85543779376896,"Bend apex",FALSE
"65",156,"10_4_13_11_D",10,4,13,11,"D",1.63,0.550000000000001,11.55,41.49646,67.32821,37.09463,67.34806,62.91,2.159999,1,FALSE,1.08,157,-16.220643587231,"Bend exit",FALSE
"66",157,"10_4_13_11_N",10,4,13,11,"N",1.63,0.65,11.65,42.30281,67.20522,37.09669,67.22906,60.39,1.44,1,FALSE,0.98,158,-16.1490385107714,"Bend exit",FALSE
"67",159,"10_4_13_5_N",10,4,13,5,"N",1.38,0.533333,5.533333,3.108967,44.178,1.998728,40.05815,86.67,2.52,1,FALSE,0.846667,160,-8.47295050116076,"Bend entry",FALSE
"68",171,"10_4_6_11_D",10,4,6,11,"D",2.57,1.2166666666667,12.2166666666667,26.7327899932861,90.6166763305664,20.2808666229248,83.3257522583008,43.2900005578995,2.07000017166137,1,FALSE,1.3533333333333,172,-12.1221689748477,"Bend exit",FALSE
"69",174,"10_4_6_5_N",10,4,6,5,"N",2,0.85,5.85,1.81011366844177,46.846736907959,0.959761202335358,40.0973243713379,41.0400000214577,1.25999987125397,1,FALSE,1.15,175,-4.84164968783543,"Bend entry",FALSE
"70",175,"10_4_6_8_D",10,4,6,8,"D",1.9,0.53333333333333,8.53333333333333,9.03414344787598,67.0218124389648,7.24283742904663,63.1470069885254,42.3899987339974,1.25999853014946,1,FALSE,1.36666666666667,176,-8.56694311282816,"Bend apex",FALSE
"71",176,"10_4_6_8_N",10,4,6,8,"N",1.9,0.983333333333331,8.98333333333333,10.5609970092773,70.5192718505859,7.25745677947998,63.3780670166016,57.4200010299683,2.1600016951561,1,FALSE,0.916666666666669,177,-9.52169259418706,"Bend apex",FALSE
"72",179,"11_1_13_11_N",11,1,13,11,"N",1.63,1,12,45.10194,67.20506,37.09798,67.22015,90,3.690001,1,FALSE,0.63,180,-16.3941242735221,"Bend exit",FALSE
"73",180,"11_1_13_5_D",11,1,13,5,"D",1.38,0.533333,5.533333,3.1111,44.10846,1.999918,39.9858,75.15,4.140003,1,FALSE,0.846667,181,-8.42628122625319,"Bend entry",FALSE
"74",182,"11_1_13_8_D",11,1,13,8,"D",1.3,0.6,8.6,18.58041,62.79678,14.79908,59.83471,90,5.309996,1,FALSE,0.7,183,-14.9392564924591,"Bend apex",FALSE
"75",193,"11_1_6_11_N",11,1,6,11,"N",2.57,0.9166666666667,11.9166666666667,25.121711730957,88.7034683227539,20.2716979980469,83.2034759521484,51.0299974679947,2.70000010728835,1,FALSE,1.6533333333333,194,-11.7890463207021,"Bend exit",FALSE
"76",194,"11_1_6_5_D",11,1,6,5,"D",2,1.15,6.15,2.10721778869629,49.2745666503906,0.95774656534195,40.1466598510742,60.0299996137619,3.86999845504761,1,FALSE,0.85,195,-5.52330326975799,"Bend entry",FALSE
"77",195,"11_1_6_5_N",11,1,6,5,"N",2,0.61666666666667,5.61666666666667,1.58566474914551,45.0386657714844,0.961932599544525,40.1350784301758,45.5399984121323,2.1600016951561,1,FALSE,1.38333333333333,196,-4.38116849060569,"Bend entry",FALSE
