trialid,ppid,block,maxyr,onsettime,dn,ttlc.failure,rt,disengage_trialtime,world_x_disengaged,world_z_disengaged,world_x_onset,world_z_onset,peak_swa,peak_sr,disengaged,ttlc.takeover,early.disengagement
43_2_3_20_3_N,43,3,20,3,N,2.33,0.89042102339957,3.89042102339957,0.656650602817535,31.6739654541016,0.1724773645401,24.6220645904541,54.0900009870529,2.51999974250793,1,1.43957897660043,FALSE
43_2_3_6_11_D,43,3,6,11,D,4.12,1.5679997464442,12.5679997464442,28.9967288970947,92.8861999511719,20.4730777740479,83.6956787109375,26.3700011372566,0.7200001180172,1,2.5520002535558,FALSE
43_2_3_6_11_N,43,3,6,11,N,4.12,0.9627906836348,11.9627906836348,25.5876579284668,89.0578460693359,20.4504432678223,83.4487457275391,27.4500006437302,0.629999935626987,1,3.1572093163652,FALSE
43_2_3_6_3_D,43,3,6,3,D,3.76,1.87556235058318,4.87556235058318,0.465049266815186,39.4044990539551,0.00284006493166089,24.4777641296387,30.1500007510185,1.25999987125397,1,1.88443764941682,FALSE
43_2_3_6_3_N,43,3,6,3,N,3.76,2.24183791746151,5.24183791746151,0.656267285346985,42.4649925231934,0.00602950248867273,24.6109523773193,31.2300002574921,1.61999925971031,1,1.51816208253849,FALSE
43_2_4_20_11_D,43,4,20,11,D,2.03,0.7428288981189,11.7428288981189,46.1855621337891,41.9899444580078,42.4639892578125,46.5268936157227,58.6800009012222,1.07999950647354,1,1.2871711018811,FALSE
43_2_4_20_11_N,43,4,20,11,N,2.03,0.7312362657265,11.7312362657265,46.10693359375,41.9694595336914,42.4634475708008,46.4034156799316,62.9100000858307,1.26000255346298,1,1.2987637342735,FALSE
43_2_4_20_3_D,43,4,20,3,D,2.33,0.85315737364469,3.85315737364469,0.630906820297241,31.4359111785889,0.172534540295601,24.652364730835,53.7300002574921,1.62000060081482,1,1.47684262635531,FALSE
43_2_4_20_3_N,43,4,20,3,N,2.33,2.26453840766946,5.26453840766946,0.154081091284752,27.180326461792,0.000473242689622566,9.06705951690674,45.5399984121323,1.25999987125396,1,0.0654615923305402,FALSE
43_2_4_6_11_D,43,4,6,11,D,4.12,1.3068396682041,12.3068396682041,27.5251235961914,91.3799896240234,20.4698905944824,83.736328125,25.3800004720688,0.72000011801719,1,2.8131603317959,FALSE
43_2_4_6_11_N,43,4,6,11,N,4.12,1.7609662891502,12.7609662891502,30.0033760070801,93.9621505737305,20.4682064056396,83.7097702026367,24.9300009012222,0.629999935626987,1,2.3590337108498,FALSE
