trialid,ppid,block,maxyr,onsettime,dn,ttlc.failure,rt,disengage_trialtime,world_x_disengaged,world_z_disengaged,world_x_onset,world_z_onset,peak_swa,peak_sr,disengaged,ttlc.takeover,early.disengagement
10_0_1_20_11_D,10,1,20,11,D,2.03,2.6717801429572,13.6717801429572,54.8974800109863,29.3976402282715,42.4644966125488,46.700611114502,90,4.3200033903122,1,-0.6417801429572,FALSE
10_0_1_20_11_N,10,1,20,11,N,2.03,0.9429342445244,11.9429342445244,47.142261505127,40.5709342956543,42.4641075134277,46.3947448730469,73.0799978971481,2.96999931335449,1,1.0870657554756,FALSE
10_0_1_20_3_D,10,1,20,3,D,2.33,1.00681793484824,4.00681793484824,0.750973045825958,32.3987541198731,0.172254607081413,24.4213123321533,60.3000015020371,3.7799996137619,1,1.32318206515176,FALSE
10_0_1_20_3_N,10,1,20,3,N,2.33,1.00862119968124,4.00862119968124,0.750852167606354,32.4452018737793,0.172187894582748,24.4677391052246,81.5400016307831,2.43000090122223,1,1.32137880031876,FALSE
10_0_1_6_11_D,10,1,6,11,D,4.12,1.64034857888,12.64034857888,29.3397312164307,93.0127944946289,20.4511032104492,83.4341735839844,29.9700003862381,0.810000300407413,1,2.47965142112,FALSE
10_0_1_6_11_N,10,1,6,11,N,4.12,2.6605092849726,13.6605092849726,34.9958114624023,98.91357421875,20.4528522491455,83.4735794067383,46.3499987125397,1.88999980688096,1,1.4594907150274,FALSE
10_0_1_6_3_D,10,1,6,3,D,3.76,2.00929674482626,5.00929674482626,0.528494954109192,40.465145111084,0.00271989824250341,24.4732131958008,28.0800005793571,1.97999998927117,1,1.75070325517374,FALSE
10_0_1_6_3_N,10,1,6,3,N,3.76,1.75629150467267,4.75629150467267,0.410919070243835,38.4188385009766,0.0016059490153566,24.4264945983887,42.1199995279312,2.60999858379364,1,2.00370849532733,FALSE
10_0_2_20_11_D,10,2,20,11,D,2.03,1.2761962401294,12.2761962401294,48.6270065307617,38.5487098693848,42.3754653930664,46.5182113647461,78.9299976825714,2.1599990129471,1,0.7538037598706,FALSE
10_0_2_20_11_N,10,2,20,11,N,2.03,1.0328043877231,12.0328043877231,37.6729774475098,51.5919799804688,29.9324855804443,54.0810127258301,90,5.03999948501586,1,0.997195612276899,FALSE
10_0_2_20_3_D,10,2,20,3,D,2.33,1.22481737944024,4.22481737944024,0.949528336524963,34.1763305664063,0.172231987118721,24.4776287078857,73.6200016736984,2.60999858379364,1,1.10518262055976,FALSE
10_0_2_20_3_N,10,2,20,3,N,2.33,1.04113188524786,4.04113188524786,0.779906392097473,32.8028984069824,0.172521457076073,24.5619335174561,48.5099977254868,2.78999894857407,1,1.28886811475214,FALSE
10_0_2_6_11_D,10,2,6,11,D,4.12,1.4248321701963,12.4248321701963,28.1440162658691,91.7934875488281,20.4648628234863,83.4906921386719,37.9799991846085,1.88999980688095,1,2.6951678298037,FALSE
10_0_2_6_11_N,10,2,6,11,N,4.12,1.2934319987443,12.2934319987443,27.4180564880371,91.0225143432617,20.4522571563721,83.4708786010742,29.2499989271164,1.25999987125397,1,2.8265680012557,FALSE
10_0_2_6_3_D,10,2,6,3,D,3.76,2.20613786192075,5.20613786192075,0.631064355373383,42.0129928588867,0.00208126404322684,24.4246101379395,27.3599991202354,1.88999980688095,1,1.55386213807925,FALSE
10_0_2_6_3_N,10,2,6,3,N,3.76,1.50941235420541,4.50941235420541,0.312052637338638,36.4617195129395,0.00260695419274271,24.4669208526611,34.1999995708466,1.89000114798545,1,2.25058764579459,FALSE
10_0_3_20_11_D,10,3,20,11,D,2.03,1.6758765786868,12.6758765786868,50.4349822998047,35.9853668212891,42.3737373352051,46.5914573669434,90,3.42000156641006,1,0.354123421313199,FALSE
10_0_3_20_11_N,10,3,20,11,N,2.03,0.802006109487801,11.8020061094878,36.4134864807129,52.0171585083008,30.3214359283447,53.9853553771973,90,2.97000467777254,1,1.2279938905122,FALSE
10_0_3_20_3_D,10,3,20,3,D,2.33,1.34209690661902,4.34209690661902,1.06959056854248,35.2352905273438,0.172499984502792,24.6088600158691,90,4.41000223159791,1,0.98790309338098,FALSE
10_0_3_20_3_N,10,3,20,3,N,2.33,1.04251225519789,4.04251225519789,0.779497385025024,32.7088317871094,0.172211080789566,24.4668064117432,45.2700018882752,2.34000071883201,1,1.28748774480211,FALSE
10_0_3_6_11_D,10,3,6,11,D,4.12,1.7789418874212,12.7789418874212,30.0948143005371,93.8424377441406,20.4524269104004,83.4750823974609,30.1500007510185,0.810000300407413,1,2.3410581125788,FALSE
10_0_3_6_11_N,10,3,6,11,N,4.12,1.8577156431866,12.8577156431866,30.5352153778076,94.3060531616211,20.4490833282471,83.4739151000977,29.070001244545,1.53000041842461,1,2.2622843568134,FALSE
10_0_3_6_3_D,10,3,6,3,D,3.76,2.84355243775808,5.84355243775808,1.03089094161987,47.1107940673828,0.00256942468695343,24.4683532714844,65.5199986696243,4.04999881982803,1,0.916447562241919,FALSE
10_0_3_6_3_N,10,3,6,3,N,3.76,2.09303536499964,5.09303536499964,0.571430325508118,41.133228302002,0.00308478367514908,24.4710292816162,35.0999987125397,2.16000035405159,1,1.66696463500036,FALSE
10_0_4_20_11_D,10,4,20,11,D,2.03,0.926263855014399,11.9262638550144,47.0614929199219,40.682559967041,42.4632301330566,46.3965148925781,88.3799993991852,3.86999845504762,1,1.1037361449856,FALSE
10_0_4_20_11_N,10,4,20,11,N,2.03,1.4601998865036,12.4601998865036,49.5238189697266,37.1898384094238,42.468635559082,46.393928527832,75.9599983692169,4.50000107288361,1,0.569800113496399,FALSE
10_0_4_20_3_D,10,4,20,3,D,2.33,1.37585333607013,4.37585333607013,1.10469543933868,35.3618392944336,0.172202974557877,24.4727573394775,90,3.6900007724762,1,0.95414666392987,FALSE
10_0_4_20_3_N,10,4,20,3,N,2.33,1.00878993504142,4.00878993504142,0.750894665718079,32.4475173950195,0.172212794423103,24.4704456329346,61.9200021028519,3.6900007724762,1,1.32121006495858,FALSE
10_0_4_6_11_D,10,4,6,11,D,4.12,3.3604314071141,14.3604314071141,38.9158058166504,102.912414550781,20.4524440765381,83.4744873046875,45,2.06999748945236,1,0.759568592885899,FALSE
10_0_4_6_11_N,10,4,6,11,N,4.12,1.3555604187293,12.3555604187293,17.3769111633301,80.2176971435547,11.5340051651001,71.1294097900391,43.1999990344048,1.61999791860579,1,2.7644395812707,FALSE
10_0_4_6_3_D,10,4,6,3,D,3.76,1.92321665740985,4.92321665740985,0.487074434757233,39.750358581543,0.00216677552089095,24.4266738891602,43.4700009226799,2.2500005364418,1,1.83678334259015,FALSE
10_0_4_6_3_N,10,4,6,3,N,3.76,1.77498732220909,4.77498732220909,0.420126169919968,38.6026649475098,0.00284594343975186,24.4768333435059,43.5599997639656,1.88999980688096,1,1.98501267779091,FALSE
10_0_5_20_11_D,10,5,20,11,D,2.03,0.925973171379599,11.9259731713796,47.0613708496094,40.6826095581055,42.4640464782715,46.3955726623535,67.5,2.79000163078307,1,1.1040268286204,FALSE
10_0_5_20_11_N,10,5,20,11,N,2.03,0.8923712902369,11.8923712902369,46.9059257507324,40.9002113342285,42.4633522033691,46.4021606445313,61.3799983263016,1.44000023603439,1,1.1376287097631,FALSE
10_0_5_20_3_D,10,5,20,3,D,2.33,1.20960282292145,4.20960282292145,0.933177173137665,34.0260925292969,0.172181904315948,24.4595737457275,89.9100011587143,4.23000186681747,1,1.12039717707855,FALSE
10_0_5_20_3_N,10,5,20,3,N,2.33,1.03940257419527,4.03940257419527,0.780844688415527,32.8195381164551,0.172509089112282,24.5693778991699,64.6199995279312,3.60000193119051,1,1.29059742580473,FALSE
10_0_5_6_11_D,10,5,6,11,D,4.12,1.7755176764628,12.7755176764628,30.0796127319336,93.8290863037109,20.452844619751,83.4779891967773,25.7400012016296,1.07999950647354,1,2.3444823235372,FALSE
10_0_5_6_11_N,10,5,6,11,N,4.12,2.0779569438072,13.0779569438072,31.7467746734619,95.6587677001953,20.4577789306641,83.5777359008789,29.070001244545,1.35000005364418,1,2.0420430561928,FALSE
10_0_5_6_3_D,10,5,6,3,D,3.76,2.29302721499118,5.29302721499118,0.67826235294342,42.7234992980957,0.00262664863839746,24.4695930480957,41.3099992275238,1.88999980688095,1,1.46697278500882,FALSE
10_0_5_6_3_N,10,5,6,3,N,3.76,2.22419103619814,5.22419103619814,0.641096234321594,42.159553527832,0.00240247556939721,24.4341316223145,30.0599992275238,1.25999987125397,1,1.53580896380186,FALSE
10_0_6_20_11_D,10,6,20,11,D,2.03,1.0249634758881,12.0249634758881,47.5313453674316,40.0436172485352,42.4632186889649,46.4047088623047,66.5100020170212,2.34000205993652,1,1.0050365241119,FALSE
10_0_6_20_11_N,10,6,20,11,N,2.03,1.1741647750598,12.1741647750598,48.2308349609375,39.0184478759766,42.463565826416,46.3611068725586,75.4199999570847,2.88000047206879,1,0.855835224940199,FALSE
10_0_6_20_3_D,10,6,20,3,D,2.33,1.83996160440463,4.83996160440463,1.65511894226074,38.932933807373,0.165753617882729,24.3542461395264,90,9.90000128746033,1,0.49003839559537,FALSE
10_0_6_20_3_N,10,6,20,3,N,2.33,0.60958652290452,3.60958652290452,0.46031591296196,29.2577610015869,0.172173336148262,24.467752456665,54.7199982404709,1.88999980688095,1,1.72041347709548,FALSE
10_0_6_6_11_D,10,6,6,11,D,4.12,1.6588475888049,12.6588475888049,29.4342346191406,93.1530456542969,20.4528694152832,83.4776382446289,39.1500002145767,2.07000017166137,1,2.4611524111951,FALSE
10_0_6_6_11_N,10,6,6,11,N,4.12,1.7776227934607,12.7776227934607,30.0929775238037,93.9462280273438,20.4623508453369,83.5935592651367,29.3400004506111,1.97999998927117,1,2.3423772065393,FALSE
10_0_6_6_3_D,10,6,6,3,D,3.76,1.12618809012098,4.12618809012098,0.18804369866848,33.4133110046387,0.00274688098579645,24.4760303497315,31.1399987339973,2.07000017166138,1,2.63381190987902,FALSE
10_0_6_6_3_N,10,6,6,3,N,3.76,1.74239423100141,4.74239423100141,0.405475527048111,38.3313293457031,0.00269485916942358,24.4723777770996,27.0899999141693,1.53000041842461,1,2.01760576899859,FALSE
10_1_1_20_11_D,10,1,20,11,D,2.03,1.2309569612397,12.2309569612397,48.4607048034668,38.9618721008301,42.464973449707,46.629810333252,89.6399992704392,2.07000017166138,1,0.7990430387603,FALSE
10_1_1_20_11_N,10,1,20,11,N,2.03,1.7427880094819,12.7427880094819,50.7888984680176,35.3078422546387,42.4643363952637,46.3904266357422,89.7299981117248,3.33000272512436,1,0.287211990518099,FALSE
10_1_1_20_3_D,10,1,20,3,D,2.33,1.02525498430205,4.02525498430205,0.765143096446991,32.5834159851074,0.172204941511154,24.4730987548828,53.0999976396561,2.61000126600265,1,1.30474501569795,FALSE
10_1_1_20_3_N,10,1,20,3,N,2.33,1.17517389100807,4.17517389100807,0.901417195796967,33.7798919677734,0.17220364511013,24.4748821258545,90,3.96000266075134,1,1.15482610899193,FALSE
10_1_1_6_11_D,10,1,6,11,D,4.12,2.7095471543996,13.7095471543996,35.2346992492676,99.1497192382812,20.4519824981689,83.4634552001953,54.9000012874603,4.4999983906746,1,1.4104528456004,FALSE
10_1_1_6_11_N,10,1,6,11,N,4.12,1.8890746972924,12.8890746972924,30.7231864929199,94.4567489624023,20.451416015625,83.4321670532227,32.5799989700317,1.34999871253967,1,2.2309253027076,FALSE
10_1_1_6_3_D,10,1,6,3,D,3.76,2.25354898243236,5.25354898243236,0.664336740970612,42.5501708984375,0.00538110500201583,24.5635242462158,54.6299993991852,3.14999967813492,1,1.50645101756764,FALSE
10_1_1_6_3_N,10,1,6,3,N,3.76,2.10761154063374,5.10761154063374,0.585171759128571,41.4111595153809,0.00623961677774787,24.6198291778564,60.7500010728836,3.24000120162964,1,1.65238845936626,FALSE
10_1_2_20_11_D,10,2,20,11,D,2.03,0.976488830919401,11.9764888309194,47.2960090637207,40.6209716796875,42.4647407531738,46.6552200317383,81.9000023603439,2.3399966955185,1,1.0535111690806,FALSE
10_1_2_20_11_N,10,2,20,11,N,2.03,1.2906653513846,12.2906653513846,48.7569427490234,38.3056182861328,42.474910736084,46.3913536071777,76.6799998283386,2.79000163078308,1,0.7393346486154,FALSE
10_1_2_20_3_D,10,2,20,3,D,2.33,1.24179988777038,4.24179988777038,0.966655433177948,34.3921890258789,0.172363325953484,24.5578651428223,81.8099981546402,3.6900007724762,1,1.08820011222962,FALSE
10_1_2_20_3_N,10,2,20,3,N,2.33,1.0245483421983,4.0245483421983,0.765211522579193,32.589729309082,0.172215029597282,24.4791030883789,54.0900009870529,3.0599981546402,1,1.3054516578017,FALSE
10_1_2_6_11_D,10,2,6,11,D,4.12,2.1729329209192,13.1729329209192,32.2950019836426,96.0894927978516,20.4512844085693,83.4326782226563,37.5299996137619,1.07999950647354,1,1.9470670790808,FALSE
10_1_2_6_11_N,10,2,6,11,N,4.12,1.6359824211835,12.6359824211835,29.3607501983643,93.2170181274414,20.4667797088623,83.6363830566406,29.070001244545,0.899999141693115,1,2.4840175788165,FALSE
10_1_2_6_3_D,10,2,6,3,D,3.76,1.9417154589808,4.9417154589808,0.496216326951981,39.9361228942871,0.00285824434831739,24.4790687561035,43.8299989700317,2.96999931335449,1,1.8182845410192,FALSE
10_1_2_6_3_N,10,2,6,3,N,3.76,1.82521731282213,4.82521731282213,0.442081838846207,38.9988784790039,0.00277948123402894,24.4745922088623,44.2800012230873,1.79999962449074,1,1.93478268717787,FALSE
10_1_3_20_11_D,10,3,20,11,D,2.03,1.2761733020893,12.2761733020893,48.6874008178711,38.4036560058594,42.4639205932617,46.3973770141602,75.5099987983704,2.33999937772751,1,0.7538266979107,FALSE
10_1_3_20_11_N,10,3,20,11,N,2.03,1.1784692399386,12.1784692399386,48.2225685119629,39.3007888793945,42.4758224487305,46.6222076416016,78.3899992704392,1.89000248908997,1,0.851530760061399,FALSE
10_1_3_20_3_D,10,3,20,3,D,2.33,0.97468132433364,3.97468132433364,0.722925901412964,32.1889266967773,0.172221645712852,24.4769115447998,58.6800009012222,2.33999937772751,1,1.35531867566636,FALSE
10_1_3_20_3_N,10,3,20,3,N,2.33,1.28626521385962,4.28626521385962,1.017049908638,34.7977180480957,0.17250058054924,24.5699825286865,90,4.77000296115875,1,1.04373478614038,FALSE
10_1_3_6_11_D,10,3,6,11,D,4.12,1.6087059152374,12.6087059152374,29.1623821258545,92.874626159668,20.4538536071777,83.4856414794922,27.2700002789497,0.809998959302899,1,2.5112940847626,FALSE
10_1_3_6_11_N,10,3,6,11,N,4.12,1.3425418167011,12.3425418167011,27.690149307251,91.3145217895508,20.4533348083496,83.476318359375,33.120000064373,1.44000023603439,1,2.7774581832989,FALSE
10_1_3_6_3_D,10,3,6,3,D,3.76,1.65903205426383,4.65903205426383,0.380559653043747,37.9331665039063,0.00906619243323803,24.7399978637695,34.4699987769127,1.62000060081482,1,2.10096794573617,FALSE
10_1_3_6_3_N,10,3,6,3,N,3.76,2.44063044187618,5.44063044187618,0.765268325805664,43.887020111084,0.00219142995774746,24.4334697723389,40.5900004506111,2.25000053644181,1,1.31936955812382,FALSE
10_1_4_20_11_D,10,4,20,11,D,2.03,1.2250478515334,12.2250478515334,48.4560089111328,38.7374305725098,42.4642753601074,46.3996047973633,90,4.22999918460846,1,0.8049521484666,FALSE
10_1_4_20_11_N,10,4,20,11,N,2.03,1.3257073741016,12.3257073741016,48.9173164367676,38.0751647949219,42.4637222290039,46.4001693725586,74.4300019741058,2.07000017166138,1,0.704292625898399,FALSE
10_1_4_20_3_D,10,4,20,3,D,2.33,0.98965422833686,3.98965422833686,0.737640738487244,32.6170654296875,0.172736659646034,24.771484375,69.9300009012222,2.43000090122224,1,1.34034577166314,FALSE
10_1_4_20_3_N,10,4,20,3,N,2.33,0.96134900120772,3.96134900120772,0.709189355373383,32.0290222167969,0.172133162617683,24.448413848877,53.9099979400635,1.70999944210053,1,1.36865099879228,FALSE
10_1_4_6_11_D,10,4,6,11,D,4.12,1.8743945924523,12.8743945924523,30.6391716003418,94.3698043823242,20.4511413574219,83.4324493408203,26.9099995493889,0.900001823902127,1,2.2456054075477,FALSE
10_1_4_6_11_N,10,4,6,11,N,4.12,1.6884592757115,12.6884592757115,29.6373882293701,93.5068817138672,20.4663829803467,83.6358947753906,34.6499991416931,1.44000023603439,1,2.4315407242885,FALSE
10_1_4_6_3_D,10,4,6,3,D,3.76,2.23043535613283,5.23043535613283,0.645300567150116,42.2910995483398,0.00501660304144025,24.5696887969971,40.950001180172,2.60999992489814,1,1.52956464386717,FALSE
10_1_4_6_3_N,10,4,6,3,N,3.76,2.60946145781986,5.60946145781986,0.870163977146149,45.2435684204102,0.00256220018491149,24.4662761688232,47.7900016307831,2.60999992489815,1,1.15053854218014,FALSE
10_1_5_20_11_D,10,5,20,11,D,2.03,0.905448811310899,11.9054488113109,46.9856376647949,40.9537315368652,42.464786529541,46.562614440918,70.5599981546402,1.62000060081483,1,1.1245511886891,FALSE
10_1_5_20_11_N,10,5,20,11,N,2.03,1.3758533058082,12.3758533058082,49.1447410583496,37.8379135131836,42.4646911621094,46.4912834167481,90,3.60000193119049,1,0.6541466941918,FALSE
10_1_5_20_3_D,10,5,20,3,D,2.33,1.15755553147426,4.15755553147426,0.886447131633759,33.6015281677246,0.172279834747314,24.4236125946045,71.3699984550476,3.33000004291534,1,1.17244446852574,FALSE
10_1_5_20_3_N,10,5,20,3,N,2.33,1.07562277929191,4.07562277929191,0.808960795402527,32.9761657714844,0.172212898731232,24.4684753417969,78.6600011587143,2.70000010728836,1,1.25437722070809,FALSE
10_1_5_6_11_D,10,5,6,11,D,4.12,1.7598729915713,12.7598729915713,29.9897994995117,93.7347717285156,20.4528350830078,83.4775619506836,26.6400003433228,0.990000665187839,1,2.3601270084287,FALSE
10_1_5_6_11_N,10,5,6,11,N,4.12,1.3305358435982,12.3305358435982,27.6038608551025,91.2301177978516,20.4551391601563,83.4855804443359,31.2300002574921,1.17000102996826,1,2.7894641564018,FALSE
10_1_5_6_3_D,10,5,6,3,D,3.76,3.47853616114941,6.47853616114941,1.56154716014862,52.1243667602539,0.00211317907087505,24.4499588012695,73.0799978971481,3.33000004291536,1,0.281463838850589,FALSE
10_1_5_6_3_N,10,5,6,3,N,3.76,1.82348708106702,4.82348708106702,0.447146028280258,39.1322059631348,0.00591770745813847,24.6077365875244,46.1700010299683,2.60999992489815,1,1.93651291893298,FALSE
10_1_6_20_11_D,10,6,20,11,D,2.03,1.1420924152641,12.1420924152641,48.0719528198242,39.2801780700684,42.4637832641602,46.3979530334473,80.5499982833862,2.79000163078307,1,0.887907584735899,FALSE
10_1_6_20_11_N,10,6,20,11,N,2.03,1.0247614516922,12.0247614516922,47.5340118408203,40.1275863647461,42.4649047851563,46.4908561706543,67.0500004291534,1.79999828338622,1,1.0052385483078,FALSE
10_1_6_20_3_D,10,6,20,3,D,2.33,1.48953725959906,4.48953725959906,1.23575913906097,36.2371025085449,0.172222197055817,24.4240531921387,87.6599979400635,3.86999845504761,1,0.84046274040094,FALSE
10_1_6_20_3_N,10,6,20,3,N,2.33,1.29551313958882,4.29551313958882,1.01703524589539,34.8004112243652,0.172458365559578,24.5717391967773,72.7200025320053,2.88000047206879,1,1.03448686041118,FALSE
10_1_6_6_11_D,10,6,6,11,D,4.12,1.5732796313508,12.5732796313508,28.9729747772217,92.624626159668,20.4511642456055,83.4312210083008,30.9600010514259,1.08000218868256,1,2.5467203686492,FALSE
10_1_6_6_11_N,10,6,6,11,N,4.12,2.7919486870976,13.7919486870976,35.7301940917969,99.6612854003906,20.4653949737549,83.4855041503906,63.3599996566773,3.24000120162964,1,1.3280513129024,FALSE
10_1_6_6_3_D,10,6,6,3,D,3.76,1.82458371958171,4.82458371958171,0.442301005125046,39.0072975158691,0.00288954377174377,24.4824504852295,36.1800009012222,1.71000212430954,1,1.93541628041829,FALSE
10_1_6_6_3_N,10,6,6,3,N,3.76,2.14191552834706,5.14191552834706,0.596428692340851,41.5279350280762,0.00275827571749687,24.474048614502,38.3399999141693,1.70999944210053,1,1.61808447165294,FALSE
10_2_1_20_11_D,10,1,20,11,D,2.03,1.0642406541033,12.0642406541033,47.6869926452637,39.8998756408691,42.4643363952637,46.4766006469727,79.1999995708466,1.89000248908997,1,0.9657593458967,FALSE
10_2_1_20_11_N,10,1,20,11,N,2.03,1.3266444724229,12.3266444724229,48.9162940979004,38.0685005187988,42.4637870788574,46.3916053771973,77.8500008583069,2.51999974250793,1,0.703355527577099,FALSE
10_2_1_20_3_D,10,1,20,3,D,2.33,1.17921434308791,4.17921434308791,0.901054322719574,33.7445449829102,0.172159478068352,24.4424629211426,74.5200008153916,3.6899980902672,1,1.15078565691209,FALSE
10_2_1_20_3_N,10,1,20,3,N,2.33,1.02640700467964,4.02640700467964,0.765254020690918,32.573616027832,0.172185599803925,24.4622764587402,63.3599996566773,3.41999888420105,1,1.30359299532036,FALSE
10_2_1_6_11_D,10,1,6,11,D,4.12,0.906799570523599,11.9067995705236,25.3011245727539,88.8582382202148,20.4383029937744,83.5404663085938,26.9099995493889,1.08000084757805,1,3.2132004294764,FALSE
10_2_1_6_11_N,10,1,6,11,N,4.12,1.7763130529381,12.7763130529381,30.0809326171875,93.8043746948242,20.4520874023438,83.4509658813477,27.809998691082,1.44000023603439,1,2.3436869470619,FALSE
10_2_1_6_3_D,10,1,6,3,D,3.76,1.79337167067476,4.79337167067476,0.426828742027283,38.7210884094238,0.0024626434314996,24.46217918396,35.0999987125397,1.97999998927116,1,1.96662832932524,FALSE
10_2_1_6_3_N,10,1,6,3,N,3.76,2.07533556241702,5.07533556241702,0.56079775094986,40.9530143737793,0.00214493251405656,24.4313488006592,25.2899989485741,1.70999944210053,1,1.68466443758298,FALSE
10_2_2_20_11_D,10,2,20,11,D,2.03,0.940764973945599,11.9407649739456,47.1402015686035,40.531909942627,42.4639511108398,46.3528480529785,66.1500012874603,2.15999901294708,1,1.0892350260544,FALSE
10_2_2_20_11_N,10,2,20,11,N,2.03,1.165162482934,12.165162482934,48.153377532959,39.2533836364746,42.4641647338867,46.4857521057129,66.6000008583069,2.07000017166137,1,0.864837517065999,FALSE
10_2_2_20_3_D,10,2,20,3,D,2.33,1.2236655155,4.2236655155,0.949653685092926,34.1239891052246,0.172236204147339,24.4246330261231,73.2600009441376,3.6900007724762,1,1.1063344845,FALSE
10_2_2_20_3_N,10,2,20,3,N,2.33,0.99319653557292,3.99319653557292,0.736862063407898,32.3071975708008,0.172202065587044,24.4621887207031,53.3699995279312,2.70000010728836,1,1.33680346442708,FALSE
10_2_2_6_11_D,10,2,6,11,D,4.12,1.493764471964,12.493764471964,28.5237560272217,92.1930160522461,20.4578151702881,83.4812698364258,46.259999871254,2.07000017166138,1,2.626235528036,FALSE
10_2_2_6_11_N,10,2,6,11,N,4.12,2.4925522303766,13.4925522303766,34.0533790588379,97.9321517944336,20.4653053283691,83.4783630371094,42.2100010514259,1.53000175952911,1,1.6274477696234,FALSE
10_2_2_6_3_D,10,2,6,3,D,3.76,2.26611268594522,5.26611268594522,0.662978172302246,42.5388526916504,0.00459167081862688,24.5516414642334,43.1999990344048,1.97999998927116,1,1.49388731405478,FALSE
10_2_2_6_3_N,10,2,6,3,N,3.76,1.44121820620245,4.44121820620245,0.287249237298965,35.8967666625977,0.00223018741235137,24.4349136352539,28.6199989914894,1.80000096559525,1,2.31878179379755,FALSE
10_2_3_20_11_D,10,3,20,11,D,2.03,0.912818820895801,11.9128188208958,46.9847755432129,40.7661666870117,42.4636421203613,46.3749618530274,64.8000025749207,2.3399966955185,1,1.1171811791042,FALSE
10_2_3_20_11_N,10,3,20,11,N,2.03,0.843951062386701,11.8439510623867,46.6679878234863,41.2078742980957,42.4636116027832,46.3880729675293,71.4600026607513,1.53000175952912,1,1.1860489376133,FALSE
10_2_3_20_3_D,10,3,20,3,D,2.33,1.53340863559131,4.53340863559131,1.26660740375519,36.6188430786133,0.166040688753128,24.4072360992432,90,4.32000070810317,1,0.79659136440869,FALSE
10_2_3_20_3_N,10,3,20,3,N,2.33,1.04183018294407,4.04183018294407,0.779577553272247,32.6638336181641,0.17222386598587,24.4215641021729,57.6899975538254,3.24000120162964,1,1.28816981705593,FALSE
10_2_3_6_11_D,10,3,6,11,D,4.12,2.7065170965003,13.7065170965003,35.2629737854004,99.15234375,20.4493560791016,83.4331436157227,34.7400006651878,0.90000182390213,1,1.4134829034997,FALSE
10_2_3_6_11_N,10,3,6,11,N,4.12,2.392290554024,13.392290554024,33.5027542114258,97.3423080444336,20.4509048461914,83.4370574951172,29.1600000858307,0.990000665187836,1,1.727709445976,FALSE
10_2_3_6_3_D,10,3,6,3,D,3.76,1.9938452176375,4.9938452176375,0.519515633583069,40.3148994445801,0.00238039111718535,24.4592533111572,49.5000010728836,2.88000047206878,1,1.7661547823625,FALSE
10_2_3_6_3_N,10,3,6,3,N,3.76,2.14364428919808,5.14364428919808,0.596021056175232,41.5173416137695,0.00245953723788261,24.4615516662598,37.2600004076958,2.87999913096428,1,1.61635571080192,FALSE
10_2_4_20_11_D,10,4,20,11,D,2.03,1.1207562866167,12.1207562866167,48.0000610351563,39.8190727233887,42.4649963378906,46.8340911865234,70.5599981546402,2.15999901294708,1,0.909243713383299,FALSE
10_2_4_20_11_N,10,4,20,11,N,2.03,0.9992861176907,11.9992861176907,47.3777923583984,40.2270812988281,42.4638710021973,46.3749694824219,68.130002617836,3.06000351905823,1,1.0307138823093,FALSE
10_2_4_20_3_D,10,4,20,3,D,2.33,1.01141758915455,4.01141758915455,0.75117951631546,32.5637321472168,0.172416627407074,24.5862598419189,66.6000008583069,3.95999997854233,1,1.31858241084545,FALSE
10_2_4_20_3_N,10,4,20,3,N,2.33,0.87660944238397,3.87660944238397,0.643167734146118,31.3757553100586,0.172176897525787,24.4594554901123,90,3.69000077247621,1,1.45339055761603,FALSE
10_2_4_6_11_D,10,4,6,11,D,4.12,2.3922941762598,13.3922941762598,33.4946403503418,97.3661346435547,20.4471969604492,83.4632034301758,32.2200009226799,1.25999987125397,1,1.7277058237402,FALSE
10_2_4_6_11_N,10,4,6,11,N,4.12,1.4828271309085,12.4828271309085,17.9020252227783,80.9800415039063,11.5335788726807,71.1278305053711,45.9899979829788,2.70000010728836,1,2.6371728690915,FALSE
10_2_4_6_3_D,10,4,6,3,D,3.76,1.89337224419543,4.89337224419543,0.471993178129196,39.5196876525879,0.00245482311584055,24.4622764587402,37.169998884201,2.25000053644181,1,1.86662775580457,FALSE
10_2_4_6_3_N,10,4,6,3,N,3.76,1.69363401110399,4.69363401110399,0.383974403142929,37.9204902648926,0.0024237628094852,24.4603214263916,29.3400004506111,1.35000005364418,1,2.06636598889601,FALSE
10_2_5_20_11_D,10,5,20,11,D,2.03,1.0436503564431,12.0436503564431,47.6114273071289,39.9206657409668,42.4634704589844,46.3930702209473,75.1499980688095,1.80000364780427,1,0.986349643556899,FALSE
10_2_5_20_11_N,10,5,20,11,N,2.03,1.1082429711269,12.1082429711269,47.9211959838867,39.4546432495117,42.4639625549316,46.3600463867188,68.8499987125397,2.88000047206878,1,0.921757028873099,FALSE
10_2_5_20_3_D,10,5,20,3,D,2.33,1.09370905175604,4.09370905175604,0.82381397485733,33.101261138916,0.172206103801727,24.4617366790772,76.5900009870529,2.87999778985977,1,1.23629094824396,FALSE
10_2_5_20_3_N,10,5,20,3,N,2.33,0.78972438105799,3.78972438105799,0.581519901752472,30.6843795776367,0.172232806682587,24.4314861297607,48.6000019311905,1.71000212430954,1,1.54027561894201,FALSE
10_2_5_6_11_D,10,5,6,11,D,4.12,1.6602173764086,12.6602173764086,29.4365940093994,93.150260925293,20.4523448944092,83.4716339111328,29.070001244545,1.25999987125397,1,2.4597826235914,FALSE
